from_asset,to_asset,commission_year,producer_efficiency
SK_Pump_Hydro_Closed,SK_E_Demand,2050,0.875
SK_Pump_Hydro_Open,SK_E_Demand,2050,0.875
SK_Solar,SK_E_Demand,2050,1.0
SK_Wind_Onshore,SK_E_Demand,2050,1.0
SK_electrolyzer,SK_H_Demand,2050,0.65
UK_Battery,UK_E_Demand,2050,0.955
UK_E_Demand,BE_E_Demand,2050,
UK_E_Demand,DK_E_Demand,2050,
UK_E_Demand,FR_E_Demand,2050,
UK_E_Demand,NL_E_Demand,2050,
UK_E_Demand,UK_Battery,2050,0.955
UK_E_Demand,UK_Pump_Hydro_Closed,2050,0.875
UK_E_Demand,UK_electrolyzer,2050,1.0
UK_Gas,UK_E_Demand,2050,1.0
UK_Hydro,UK_E_Demand,2050,1.0
UK_Nuclear,UK_E_Demand,2050,1.0
UK_OCGT,UK_E_Demand,2050,1.0
UK_Pump_Hydro_Closed,UK_E_Demand,2050,0.875
UK_Solar,UK_E_Demand,2050,1.0
UK_Wind_Offshore,UK_E_Demand,2050,1.0
UK_Wind_Onshore,UK_E_Demand,2050,1.0
UK_electrolyzer,UK_H_Demand,2050,0.65
